Cantos,Muestras,,
,,CTC,CZC
1,37,2.481435,2.220125
1,38,2.480032,2.21772
1,39,2.477045,2.21599
1,40,2.457123,2.22332
1,41,2.439478,2.248973
1,42,2.434156,2.292922
1,43,2.428641,2.335513
1,44,2.437693,2.368759
1,45,2.451957,2.377935
1,46,2.472776,2.383543
1,47,2.484097,2.395475
1,48,2.489802,2.387935
1,49,2.497576,2.395152
1,50,2.509604,2.39308
1,51,2.502342,2.396832
1,52,2.467004,2.399582
1,53,2.430322,2.410331
1,54,2.388194,2.408317
1,55,2.37723,2.409221
1,56,2.367063,2.412491
1,57,2.377768,2.414271
1,58,2.396178,2.408048
1,59,2.407302,2.408329
1,60,2.428536,2.405982
1,61,2.434937,2.403443
1,62,2.406353,2.395564
1,63,2.349248,2.395116
1,64,2.322936,2.380888
1,65,2.415746,2.386192
1,66,2.509734,2.376419
1,67,2.550525,2.350303
1,68,2.564939,2.308781
1,69,2.562019,2.28578
1,70,2.53933,2.289016
1,71,2.494521,2.300972
1,72,2.471449,2.293083
1,73,2.409779,2.29345
1,74,2.403311,2.288327
1,75,2.394262,2.287508
1,76,2.410077,2.281987
1,77,2.49927,2.27248
1,78,2.545816,2.274107
1,79,2.556231,2.277379
1,80,2.531863,2.276516
1,81,2.503466,2.270856
1,82,2.493456,2.275999
1,83,2.49521,2.269794
1,84,2.503022,2.269687
1,85,2.558301,2.279339
1,86,2.567383,2.279805
1,87,2.531954,2.280729
1,88,2.561566,2.288885
1,89,2.58358,2.289488
1,90,2.589303,2.290627
1,91,2.562038,2.294136
1,92,2.509605,2.296204
1,93,2.364335,2.303516
1,94,2.24901,2.310677
1,95,2.205604,2.316256
1,96,2.2339,2.321048
2,97,2.277529,2.319266
2,98,2.286344,2.316854
2,99,2.253007,2.312289
2,100,2.213264,2.314592
2,101,2.183019,2.313908
2,102,2.175286,2.319725
2,103,2.267322,2.324444
2,104,2.433315,2.345114
2,105,2.564046,2.359745
2,106,2.651954,2.39002
2,107,2.676734,2.376793
2,108,2.725701,2.374846
2,109,2.715074,2.391228
2,110,2.746132,2.408071
2,111,2.72515,2.417828
2,112,2.668567,2.449616
2,113,2.745913,2.493579
2,114,2.876897,2.525913
2,115,2.884726,2.534065
2,116,2.839473,2.524168
2,117,2.784143,2.497988
2,118,2.78247,2.463358
2,119,2.817969,2.444909
2,120,2.806927,2.429292
2,121,2.773097,2.424702
2,122,2.739676,2.42172
2,123,2.712172,2.426678
2,124,2.707043,2.42523
2,125,2.697301,2.41509
2,126,2.677838,2.431692
2,127,2.665509,2.459758
2,128,2.64435,2.464887
2,129,2.631837,2.45747
2,130,2.609626,2.455048
2,131,2.584031,2.476784
2,132,2.545607,2.509028
2,133,2.492728,2.501909
2,134,2.42026,2.532888
2,135,2.431861,2.575498
2,136,2.493574,2.588308
2,137,2.569566,2.582129
2,138,2.608255,2.565895
2,139,2.659395,2.544538
2,140,2.700577,2.521577
2,141,2.711196,2.503006
2,142,2.714012,2.484351
2,143,2.742066,2.46711
2,144,2.670844,2.457403
2,145,2.620169,2.452442
2,146,2.612983,2.453416
2,147,2.657691,2.478291
2,148,2.745342,2.499848
2,149,2.738211,2.543035
2,150,2.697131,2.585485
2,151,2.741586,2.562455
2,152,2.770195,2.533632
2,153,2.776444,2.507317
2,154,2.766367,2.492666
2,155,2.757938,2.50242
2,156,2.797049,2.510547
2,157,2.792107,2.511764
2,158,2.742134,2.506805
2,159,2.702797,2.501024
2,160,2.713309,2.490273
2,161,2.719338,2.474957
2,162,2.637046,2.474436
2,163,2.48497,2.476138
2,164,2.351732,2.486022
2,165,2.304709,2.48686
2,166,2.332704,2.529819
2,167,2.367362,2.561281
2,168,2.437443,2.550651
2,169,2.461575,2.53508
2,170,2.533172,2.514953
2,171,2.587075,2.502213
2,172,2.600839,2.506711
2,173,2.574882,2.512748
2,174,2.574022,2.514668
2,175,2.575747,2.517145
2,176,2.601618,2.513345
2,177,2.643325,2.506508
2,178,2.705925,2.498648
2,179,2.681162,2.486123
2,180,2.639313,2.483423
2,181,2.640121,2.500994
2,182,2.661583,2.506699
2,183,2.613302,2.503894
2,184,2.557964,2.485104
2,185,2.516578,2.476101
2,186,2.480845,2.494492
2,187,2.469568,2.512516
2,188,2.459289,2.534951
2,189,2.470692,2.545649
2,190,2.562219,2.505486
2,191,2.616571,2.491227
2,192,2.614182,2.52441
2,193,2.579306,2.545
2,194,2.548685,2.534876
2,195,2.522319,2.538285
2,196,2.501629,2.563946
2,197,2.543383,2.519128
2,198,2.568066,2.466007
2,199,2.576734,2.454858
2,200,2.592484,2.466588
2,201,2.595916,2.488652
2,202,2.619854,2.488998
2,203,2.685637,2.48711
2,204,2.716335,2.476743
2,205,2.658566,2.4755
2,206,2.618428,2.484019
2,207,2.572644,2.50273
2,208,2.55338,2.529762
2,209,2.580502,2.535861
2,210,2.650544,2.560517
2,211,2.643687,2.595649
2,212,2.633184,2.638899
2,213,2.613052,2.621093
2,214,2.659446,2.532382
2,215,2.667301,2.502683
2,216,2.621331,2.519261
3,217,2.540714,2.540853
3,218,2.491994,2.557838
3,219,2.455334,2.552059
3,220,2.426234,2.54237
3,221,2.397894,2.539893
3,222,2.370118,2.530564
3,223,2.364592,2.525419
3,224,2.401665,2.50506
3,225,2.443568,2.497556
3,226,2.534755,2.504852
3,227,2.58073,2.514016
3,228,2.563369,2.526016
3,229,2.52106,2.533522
3,230,2.462517,2.553115
3,231,2.414898,2.581214
3,232,2.392628,2.612243
3,233,2.368719,2.598928
3,234,2.360714,2.597251
3,235,2.354001,2.609716
3,236,2.346637,2.621924
3,237,2.330237,2.641817
3,238,2.308773,2.661242
3,239,2.28198,2.682189
3,240,2.267752,2.683019
3,241,2.254934,2.683386
3,242,2.310385,2.677267
3,243,2.420566,2.689284
3,244,2.505578,2.765297
3,245,2.506899,2.838978
3,246,2.460776,2.835908
3,247,2.449914,2.75509
3,248,2.444778,2.648392
3,249,2.413099,2.608671
3,250,2.374725,2.617499
3,251,2.282483,2.630012
3,252,2.185866,2.639201
3,253,2.118596,2.641402
3,254,2.099795,2.635702
3,255,2.094716,2.620495
3,256,2.111529,2.588621
3,257,2.114534,2.57917
3,258,2.131369,2.577062
3,259,2.159151,2.585006
3,260,2.175713,2.595446
3,261,2.191452,2.593066
3,262,2.210002,2.587795
3,263,2.224607,2.579188
3,264,2.226042,2.587384
3,265,2.227264,2.612489
3,266,2.269204,2.619566
3,267,2.275461,2.599511
3,268,2.273934,2.610122
3,269,2.265408,2.596203
3,270,2.284668,2.557698
3,271,2.370621,2.539148
3,272,2.464986,2.541812
3,273,2.529238,2.547184
3,274,2.569675,2.558216
3,275,2.544554,2.579329
3,276,2.439089,2.593965
3,277,2.33349,2.621854
3,278,2.265816,2.637843
3,279,2.255845,2.578789
3,280,2.288426,2.522908
3,281,2.403663,2.508918
3,282,2.485306,2.513349
3,283,2.507607,2.515913
3,284,2.482969,2.524889
3,285,2.39872,2.515161
3,286,2.372117,2.500575
3,287,2.376269,2.489686
3,288,2.425738,2.480372
3,289,2.425062,2.495327
3,290,2.390979,2.502823
3,291,2.338648,2.510262
3,292,2.311532,2.552026
3,293,2.27508,2.607302
3,294,2.24119,2.597362
3,295,2.28966,2.559016
3,296,2.350804,2.502609
3,297,2.385726,2.459271
3,298,2.414228,2.458213
3,299,2.393068,2.47134
3,300,2.349421,2.459104
3,301,2.293813,2.473464
3,302,2.261422,2.523791
3,303,2.224626,2.50951
3,304,2.253357,2.494965
3,305,2.264844,2.490642
3,306,2.288759,2.514323
3,307,2.348985,2.536598
3,308,2.363669,2.53225
3,309,2.443996,2.545909
3,310,2.514281,2.566895
3,311,2.533919,2.56934
3,312,2.508512,2.560313
3,313,2.471339,2.560089
3,314,2.437243,2.545889
3,315,2.414383,2.541795
3,316,2.387569,2.567095
3,317,2.375804,2.591476
3,318,2.404495,2.588915
3,319,2.402506,2.58723
3,320,2.431558,2.591507
3,321,2.476064,2.582689
3,322,2.452011,2.577535
3,323,2.393945,2.583867
3,324,2.399504,2.595265
3,325,2.430257,2.608501
3,326,2.475228,2.636331
3,327,2.573072,2.653401
3,328,2.650946,2.648618
3,329,2.627836,2.630275
3,330,2.564912,2.631702
3,331,2.472835,2.618492
3,332,2.425852,2.603561
3,333,2.416297,2.606085
3,334,2.422529,2.611775
3,335,2.421042,2.614546
3,336,2.417992,2.583118
4,337,2.4419,2.560302
4,338,2.455757,2.566712
4,339,2.474304,2.58898
4,340,2.455651,2.627492
4,341,2.447303,2.65395
4,342,2.449286,2.661319
4,343,2.474815,2.646622
4,344,2.547322,2.636559
4,345,2.608212,2.63066
4,346,2.65038,2.611684
4,347,2.653381,2.561639
4,348,2.649672,2.538855
4,349,2.633085,2.530694
4,350,2.663122,2.539347
4,351,2.669098,2.554134
4,352,2.653923,2.570505
4,353,2.683903,2.589499
4,354,2.753613,2.594326
4,355,2.787324,2.618674
4,356,2.766166,2.634528
4,357,2.702918,2.629579
4,358,2.645123,2.623504
4,359,2.638506,2.613695
4,360,2.642399,2.607225
4,361,2.647879,2.594377
4,362,2.59934,2.567452
4,363,2.570363,2.547517
4,364,2.561575,2.524104
4,365,2.572218,2.50716
4,366,2.601032,2.509968
4,367,2.5411,2.507952
4,368,2.477445,2.514591
4,369,2.404222,2.507427
4,370,2.397344,2.495485
4,371,2.431849,2.524059
4,372,2.461325,2.581668
4,373,2.451304,2.600084
4,374,2.453309,2.618025
4,375,2.464301,2.579698
4,376,2.450399,2.564325
4,377,2.424982,2.563369
4,378,2.429163,2.567075
4,379,2.414386,2.55684
4,380,2.390516,2.532684
4,381,2.398316,2.522055
4,382,2.456897,2.515813
4,383,2.517166,2.501811
4,384,2.51241,2.486645
4,385,2.441593,2.473148
4,386,2.385218,2.454592
4,387,2.361052,2.435045
4,388,2.351824,2.438807
4,389,2.353952,2.443736
4,390,2.378151,2.437729
4,391,2.417111,2.427781
4,392,2.418709,2.440607
4,393,2.43328,2.441857
4,394,2.443501,2.457332
4,395,2.462062,2.478743
4,396,2.468681,2.50179
4,397,2.424128,2.533492
4,398,2.365092,2.602735
4,399,2.400187,2.602197
4,400,2.413919,2.57621
4,401,2.373794,2.557699
4,402,2.295771,2.54904
4,403,2.233974,2.537622
4,404,2.225991,2.526007
4,405,2.255636,2.487432
4,406,2.255115,2.45403
4,407,2.275017,2.391664
4,408,2.302344,2.351035
4,409,2.341199,2.341148
4,410,2.382046,2.348041
4,411,2.390556,2.350912
4,412,2.364013,2.349053
4,413,2.327316,2.360934
4,414,2.283141,2.381768
4,415,2.270165,2.415539
4,416,2.318333,2.461573
4,417,2.34698,2.465212
4,418,2.388553,2.461987
4,419,2.385196,2.469876
4,420,2.361322,2.461783
4,421,2.373863,2.450953
4,422,2.399522,2.453269
4,423,2.40745,2.453263
4,424,2.406917,2.493016
4,425,2.373177,2.523504
4,426,2.318206,2.571751
4,427,2.280551,2.618119
4,428,2.329973,2.657509
4,429,2.404506,2.614921
4,430,2.449964,2.5887
4,431,2.449002,2.537109
4,432,2.432946,2.529202
4,433,2.443727,2.486573
4,434,2.477895,2.431134
4,435,2.51998,2.434808
4,436,2.575039,2.504767
4,437,2.64753,2.60249
4,438,2.708252,2.630515
4,439,2.745688,2.639356
4,440,2.749693,2.652827
4,441,2.773648,2.629396
4,442,2.777341,2.521519
4,443,2.774838,2.399091
4,444,2.77436,2.311756
4,445,2.777156,2.31369
4,446,2.768404,2.380835
4,447,2.746501,2.477724
4,448,2.722354,2.485968
4,449,2.675085,2.364416
4,450,2.61736,2.274075
4,451,2.574232,2.325037
4,452,2.544808,2.387218
4,453,2.548075,2.438163
4,454,2.585623,2.45367
4,455,2.583716,2.499242
4,456,2.562893,2.430235
5,457,2.538518,2.367383
5,458,2.513699,2.365564
5,459,2.550171,2.386098
5,460,2.581089,2.400903
5,461,2.605432,2.438093
5,462,2.622278,2.481803
5,463,2.629903,2.513179
5,464,2.648368,2.546726
5,465,2.596326,2.563603
5,466,2.553859,2.586994
5,467,2.612057,2.595404
5,468,2.674578,2.603498
5,469,2.701571,2.595721
5,470,2.718219,2.595305
5,471,2.694192,2.598339
5,472,2.637354,2.582871
5,473,2.546764,2.584644
5,474,2.506333,2.577856
5,475,2.549032,2.573559
5,476,2.558458,2.568755
