Cantos,Muestras,,
,,CTC,CZC
1,37,2.281003,2.200752
1,38,2.279422,2.200562
1,39,2.257203,2.307876
1,40,2.234691,2.346148
1,41,2.218833,2.31225
1,42,2.239302,2.296267
1,43,2.278198,2.35341
1,44,2.303981,2.392408
1,45,2.281025,2.352003
1,46,2.237328,2.274434
1,47,2.229068,2.245174
1,48,2.208747,2.235682
1,49,2.225279,2.283179
1,50,2.272864,2.30681
1,51,2.273817,2.267548
1,52,2.311358,2.203825
1,53,2.366533,2.21023
1,54,2.378012,2.262365
1,55,2.369591,2.24057
1,56,2.342752,2.200732
1,57,2.319452,2.208481
1,58,2.303463,2.243287
1,59,2.302929,2.224675
1,60,2.280982,2.183362
1,61,2.270968,2.158318
1,62,2.280658,2.182579
1,63,2.285671,2.243564
1,64,2.294233,2.299015
1,65,2.314825,2.363722
1,66,2.376507,2.421673
1,67,2.383269,2.418074
1,68,2.360482,2.35783
1,69,2.353546,2.357431
1,70,2.318178,2.366884
1,71,2.286131,2.347453
1,72,2.257603,2.374546
1,73,2.247634,2.386584
1,74,2.248628,2.405877
1,75,2.223332,2.391095
1,76,2.231297,2.371857
1,77,2.301954,2.373524
1,78,2.300688,2.330809
1,79,2.244295,2.30479
1,80,2.271439,2.328054
1,81,2.303123,2.319684
1,82,2.25794,2.258091
1,83,2.262993,2.222362
1,84,2.340057,2.250778
1,85,2.414477,2.283148
1,86,2.513608,2.335291
1,87,2.498963,2.322624
1,88,2.397829,2.339594
1,89,2.288024,2.313975
1,90,2.26405,2.266809
1,91,2.316283,2.268526
1,92,2.340179,2.306784
1,93,2.346914,2.32155
1,94,2.314824,2.279672
1,95,2.274312,2.230766
1,96,2.241191,2.185594
2,97,2.24698,2.179585
2,98,2.210355,2.196771
2,99,2.225342,2.213093
2,100,2.244597,2.177911
2,101,2.239378,2.140662
2,102,2.246157,2.118045
2,103,2.313017,2.100303
2,104,2.347545,2.117129
2,105,2.382995,2.15031
2,106,2.431969,2.162626
2,107,2.496981,2.210124
2,108,2.518228,2.255332
2,109,2.547583,2.270069
2,110,2.555796,2.3285
2,111,2.61476,2.336792
2,112,2.592816,2.2725
2,113,2.535596,2.205012
2,114,2.492666,2.181491
2,115,2.493622,2.201866
2,116,2.468529,2.223215
2,117,2.440463,2.255717
2,118,2.403658,2.282445
2,119,2.406561,2.339118
2,120,2.412812,2.417137
2,121,2.387553,2.444753
2,122,2.357176,2.457459
2,123,2.352421,2.50151
2,124,2.383426,2.495711
2,125,2.407385,2.474248
2,126,2.417745,2.488142
2,127,2.464554,2.509497
2,128,2.560937,2.508197
2,129,2.666469,2.42354
2,130,2.73496,2.339438
2,131,2.78914,2.361815
2,132,2.83937,2.367765
2,133,2.850606,2.344028
2,134,2.810664,2.377226
2,135,2.778732,2.358375
2,136,2.805575,2.356307
2,137,2.840413,2.397538
2,138,2.839677,2.406436
2,139,2.7939,2.426749
2,140,2.753466,2.451993
2,141,2.708153,2.468633
2,142,2.654728,2.435092
2,143,2.634105,2.413916
2,144,2.634941,2.417495
2,145,2.604156,2.45548
2,146,2.578274,2.459669
2,147,2.610748,2.451327
2,148,2.742417,2.491281
2,149,2.767037,2.542844
2,150,2.712626,2.55785
2,151,2.694962,2.549598
2,152,2.720753,2.519548
2,153,2.738832,2.462191
2,154,2.706726,2.443659
2,155,2.683682,2.405475
2,156,2.722282,2.357267
2,157,2.76174,2.34816
2,158,2.792222,2.367924
2,159,2.747235,2.383016
2,160,2.745385,2.412024
2,161,2.743954,2.419838
2,162,2.691229,2.417398
2,163,2.596618,2.423898
2,164,2.52157,2.438895
2,165,2.469096,2.496134
2,166,2.431958,2.542608
2,167,2.421183,2.581043
2,168,2.467178,2.617063
2,169,2.536034,2.616679
2,170,2.615363,2.491497
2,171,2.667651,2.340764
2,172,2.6724,2.256414
2,173,2.665565,2.294156
2,174,2.734447,2.38539
2,175,2.770996,2.386126
2,176,2.782789,2.379475
2,177,2.747675,2.355616
2,178,2.696415,2.351872
2,179,2.641851,2.372953
2,180,2.607482,2.427774
2,181,2.593466,2.41221
2,182,2.556894,2.405163
2,183,2.528113,2.415383
2,184,2.482078,2.422123
2,185,2.487983,2.395056
2,186,2.514314,2.452615
2,187,2.548945,2.525692
2,188,2.596705,2.562969
2,189,2.648402,2.58605
2,190,2.714013,2.609097
2,191,2.74363,2.570118
2,192,2.696744,2.446688
2,193,2.652914,2.293488
2,194,2.6587,2.163562
2,195,2.652664,2.093397
2,196,2.627717,2.078401
2,197,2.611255,2.125891
2,198,2.623573,2.236303
2,199,2.678509,2.346947
2,200,2.64228,2.458937
2,201,2.590837,2.463198
2,202,2.564658,2.441926
2,203,2.57055,2.380825
2,204,2.637163,2.323351
2,205,2.683043,2.338734
2,206,2.676164,2.385352
2,207,2.640558,2.394706
2,208,2.599174,2.387589
2,209,2.596884,2.436352
2,210,2.568996,2.484565
2,211,2.535213,2.459929
2,212,2.515347,2.420431
2,213,2.512291,2.406723
2,214,2.54119,2.405773
2,215,2.560991,2.39187
2,216,2.574258,2.386789
3,217,2.572486,2.44581
3,218,2.533259,2.47746
3,219,2.4966,2.416692
3,220,2.453642,2.294189
3,221,2.425133,2.179038
3,222,2.407813,2.100167
3,223,2.42334,2.061138
3,224,2.464294,2.069748
3,225,2.51226,2.153605
3,226,2.559975,2.298704
3,227,2.603386,2.362884
3,228,2.652557,2.393355
3,229,2.718979,2.409256
3,230,2.748223,2.398025
3,231,2.744517,2.469018
3,232,2.730688,2.559595
3,233,2.68889,2.5921
3,234,2.658922,2.60591
3,235,2.636009,2.569417
3,236,2.60162,2.561263
3,237,2.574116,2.549821
3,238,2.563836,2.506902
3,239,2.542356,2.47285
3,240,2.544426,2.433419
3,241,2.60721,2.416342
3,242,2.601522,2.446583
3,243,2.574909,2.424428
3,244,2.537225,2.43658
3,245,2.533769,2.488585
3,246,2.542201,2.524022
3,247,2.55162,2.524153
3,248,2.56972,2.538429
3,249,2.569973,2.535518
3,250,2.558033,2.48588
3,251,2.597222,2.460588
3,252,2.665857,2.428647
3,253,2.688247,2.391299
3,254,2.666281,2.368105
3,255,2.609017,2.359938
3,256,2.566131,2.36869
3,257,2.548373,2.378725
3,258,2.5549,2.433583
3,259,2.555975,2.47556
3,260,2.545505,2.477648
